Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads)
17-Jan-2019 10:31:58.367,-0.0108,-0.0043,-0.9865,-0.0042, 0.0040, 0.0144,-0.0094,-0.0160,-0.0107,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.407,-0.0095,-0.0042,-0.9877,-0.0040, 0.0038, 0.0111,-0.0115,-0.0170,-0.0118,-0.0053, 0.0074,-0.4469
17-Jan-2019 10:31:58.446,-0.0104,-0.0044,-0.9878,-0.0053, 0.0037, 0.0164,-0.0105,-0.0160,-0.0118,-0.0053, 0.0074,-0.4469
17-Jan-2019 10:31:58.486,-0.0098,-0.0023,-0.9857,-0.0043, 0.0048, 0.0114,-0.0105,-0.0096,-0.0118,-0.0053, 0.0074,-0.4469
17-Jan-2019 10:31:58.526,-0.0104,-0.0034,-0.9873,-0.0052, 0.0042, 0.0131,-0.0105,-0.0170,-0.0129,-0.0053, 0.0074,-0.4469
17-Jan-2019 10:31:58.567,-0.0087,-0.0027,-0.9867,-0.0045, 0.0040, 0.0132,-0.0105,-0.0138,-0.0107,-0.0053, 0.0074,-0.4469
17-Jan-2019 10:31:58.605,-0.0109,-0.0039,-0.9859,-0.0052, 0.0029, 0.0130,-0.0094,-0.0128,-0.0107,-0.0053, 0.0074,-0.4469
17-Jan-2019 10:31:58.645,-0.0106,-0.0040,-0.9864,-0.0055, 0.0043, 0.0126,-0.0094,-0.0128,-0.0118,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.686,-0.0104,-0.0029,-0.9868,-0.0037, 0.0034, 0.0136,-0.0094,-0.0128,-0.0118,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.725,-0.0097,-0.0036,-0.9874,-0.0052, 0.0050, 0.0129,-0.0094,-0.0117,-0.0107,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.765,-0.0104,-0.0018,-0.9866,-0.0036, 0.0040, 0.0129,-0.0105,-0.0138,-0.0129,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.804,-0.0107,-0.0039,-0.9870,-0.0049, 0.0039, 0.0131,-0.0115,-0.0149,-0.0129,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.844,-0.0098,-0.0027,-0.9864,-0.0040, 0.0036, 0.0144,-0.0115,-0.0149,-0.0107,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.884,-0.0090,-0.0029,-0.9874,-0.0035, 0.0044, 0.0136,-0.0084,-0.0117,-0.0107,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.924,-0.0109,-0.0032,-0.9869,-0.0055, 0.0044, 0.0129,-0.0105,-0.0128,-0.0107,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:58.963,-0.0101,-0.0043,-0.9863,-0.0059, 0.0027, 0.0141,-0.0116,-0.0138,-0.0107,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:59.003,-0.0101,-0.0027,-0.9864,-0.0027, 0.0054, 0.0142,-0.0105,-0.0138,-0.0118,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:59.043,-0.0105,-0.0029,-0.9856,-0.0045, 0.0032, 0.0139,-0.0116,-0.0138,-0.0118,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:59.082,-0.0100,-0.0042,-0.9881,-0.0011, 0.0041, 0.0114,-0.0105,-0.0160,-0.0129,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:59.122,-0.0108,-0.0047,-0.9880,-0.0076, 0.0041, 0.0139,-0.0094,-0.0138,-0.0129,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:59.162,-0.0101,-0.0027,-0.9843,-0.0044, 0.0042, 0.0125,-0.0116,-0.0117,-0.0118,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:59.201,-0.0102,-0.0029,-0.9836,-0.0050, 0.0019, 0.0127,-0.0105,-0.0128,-0.0118,-0.0054, 0.0074,-0.4469
17-Jan-2019 10:31:59.241,-0.0098,-0.0052,-0.9878,-0.0047, 0.0011, 0.0096,-0.0105,-0.0149,-0.0118,-0.0055, 0.0074,-0.4469
