Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads)
17-Jan-2019 10:26:55.972,-0.0066,-0.0024,-0.9868,-0.0040, 0.0004, 0.0169,-0.0105,-0.0138,-0.0118,-0.0014, 0.0018, 2.4907
17-Jan-2019 10:26:55.977,-0.0066,-0.0024,-0.9868,-0.0037, 0.0002, 0.0131,-0.0115,-0.0149,-0.0139,-0.0014, 0.0018, 2.4907
17-Jan-2019 10:26:55.979,-0.0052,-0.0031,-0.9869,-0.0037, 0.0002, 0.0131,-0.0115,-0.0149,-0.0139,-0.0014, 0.0018, 2.4907
17-Jan-2019 10:26:56.018,-0.0081, 0.0012,-0.9854,-0.0052,-0.0003, 0.0131,-0.0105,-0.0138,-0.0107,-0.0014, 0.0017, 2.4907
17-Jan-2019 10:26:56.058,-0.0058, 0.0018,-0.9861,-0.0049, 0.0037, 0.0142,-0.0105,-0.0149,-0.0107,-0.0014, 0.0017, 2.4907
17-Jan-2019 10:26:56.098,-0.0053,-0.0028,-0.9854,-0.0053,-0.0002, 0.0115,-0.0105,-0.0149,-0.0107,-0.0015, 0.0018, 2.4907
17-Jan-2019 10:26:56.138,-0.0023, 0.0061,-0.9861,-0.0073,-0.0026, 0.0164,-0.0104,-0.0191,-0.0129,-0.0015, 0.0018, 2.4907
17-Jan-2019 10:26:56.178, 0.0081, 0.0018,-0.9874, 0.0004,-0.0133, 0.0086,-0.0105,-0.0138,-0.0107,-0.0016, 0.0018, 2.4906
17-Jan-2019 10:26:56.217,-0.0032,-0.0079,-0.9893,-0.0088,-0.0061, 0.0125,-0.0094,-0.0138,-0.0118,-0.0016, 0.0018, 2.4906
17-Jan-2019 10:26:56.257, 0.0003,-0.0094,-0.9883,-0.0036, 0.0019, 0.0132,-0.0094,-0.0149,-0.0107,-0.0016, 0.0018, 2.4907
17-Jan-2019 10:26:56.297,-0.0035,-0.0050,-0.9867,-0.0069, 0.0011, 0.0155,-0.0094,-0.0170,-0.0129,-0.0016, 0.0018, 2.4906
17-Jan-2019 10:26:56.337,-0.0071, 0.0020,-0.9878,-0.0044, 0.0053, 0.0141,-0.0105,-0.0138,-0.0118,-0.0016, 0.0018, 2.4906
