Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads)
17-Jan-2019 10:33:20.108, 0.0125, 0.0062,-0.9852, 0.0526,-0.0188,-0.0110,-0.0135,-0.0212,-0.0289, 0.0048, 0.0101,-0.7827
17-Jan-2019 10:33:20.132,-0.0607,-0.0013,-0.9821,-0.0608, 0.0199, 0.1348, 0.0186, 0.0885,-0.0115, 0.0046, 0.0100,-0.7835
17-Jan-2019 10:33:20.172,-0.0175, 0.0004,-0.9543,-0.0122, 0.0074, 0.0081, 0.0156, 0.0608,-0.0147, 0.0048, 0.0101,-0.7835
17-Jan-2019 10:33:20.212,-0.0051,-0.0084,-0.9966,-0.0189, 0.0041, 0.0314,-0.0168,-0.0309,-0.0108, 0.0045, 0.0100,-0.7835
17-Jan-2019 10:33:20.252,-0.0109,-0.0042,-0.9817,-0.0114, 0.0055, 0.0073,-0.0074,-0.0042,-0.0118, 0.0045, 0.0100,-0.7835
17-Jan-2019 10:33:20.293,-0.0076,-0.0098,-0.9900,-0.0143, 0.0032, 0.0153,-0.0147,-0.0192,-0.0108, 0.0045, 0.0100,-0.7835
17-Jan-2019 10:33:20.331,-0.0103,-0.0026,-0.9847,-0.0163, 0.0091, 0.0125,-0.0073,-0.0117,-0.0128, 0.0045, 0.0099,-0.7835
17-Jan-2019 10:33:20.371,-0.0069,-0.0068,-0.9843,-0.0103, 0.0018, 0.0123,-0.0116,-0.0138,-0.0107, 0.0044, 0.0099,-0.7835
17-Jan-2019 10:33:20.411,-0.0117,-0.0033,-0.9852,-0.0148, 0.0038, 0.0149,-0.0116,-0.0128,-0.0118, 0.0044, 0.0099,-0.7835
17-Jan-2019 10:33:20.450,-0.0077,-0.0047,-0.9868,-0.0123, 0.0035, 0.0154,-0.0105,-0.0160,-0.0129, 0.0043, 0.0099,-0.7835
17-Jan-2019 10:33:20.490,-0.0117,-0.0042,-0.9825,-0.0142, 0.0038, 0.0143,-0.0094,-0.0117,-0.0129, 0.0043, 0.0099,-0.7835
17-Jan-2019 10:33:20.530,-0.0060,-0.0054,-0.9825,-0.0133, 0.0063, 0.0141,-0.0115,-0.0160,-0.0129, 0.0043, 0.0099,-0.7835
17-Jan-2019 10:33:20.569,-0.0099,-0.0039,-0.9837,-0.0121, 0.0056, 0.0136,-0.0116,-0.0128,-0.0118, 0.0043, 0.0099,-0.7835
17-Jan-2019 10:33:20.609,-0.0094,-0.0022,-0.9842,-0.0136, 0.0029, 0.0143,-0.0105,-0.0138,-0.0139, 0.0043, 0.0098,-0.7835
17-Jan-2019 10:33:20.649,-0.0072,-0.0036,-0.9837,-0.0125, 0.0057, 0.0156,-0.0116,-0.0128,-0.0118, 0.0043, 0.0098,-0.7835
17-Jan-2019 10:33:20.689,-0.0091,-0.0037,-0.9876,-0.0103, 0.0049, 0.0129,-0.0126,-0.0170,-0.0118, 0.0043, 0.0098,-0.7835
17-Jan-2019 10:33:20.729,-0.0076,-0.0072,-0.9844,-0.0148, 0.0078, 0.0123,-0.0084,-0.0117,-0.0107, 0.0043, 0.0098,-0.7835
17-Jan-2019 10:33:20.768,-0.0116,-0.0036,-0.9860,-0.0149, 0.0050, 0.0133,-0.0105,-0.0138,-0.0118, 0.0042, 0.0098,-0.7835
17-Jan-2019 10:33:20.809,-0.0067,-0.0064,-0.9867,-0.0115, 0.0028, 0.0138,-0.0116,-0.0128,-0.0118, 0.0043, 0.0098,-0.7835
17-Jan-2019 10:33:20.848,-0.0106,-0.0048,-0.9861,-0.0135, 0.0066, 0.0145,-0.0094,-0.0149,-0.0118, 0.0043, 0.0098,-0.7835
17-Jan-2019 10:33:20.888,-0.0103,-0.0042,-0.9870,-0.0124, 0.0029, 0.0148,-0.0105,-0.0149,-0.0118, 0.0042, 0.0097,-0.7835
17-Jan-2019 10:33:20.927,-0.0107,-0.0068,-0.9868,-0.0155, 0.0062, 0.0134,-0.0094,-0.0160,-0.0118, 0.0042, 0.0097,-0.7836
17-Jan-2019 10:33:20.967,-0.0086,-0.0064,-0.9860,-0.0117, 0.0063, 0.0147,-0.0084,-0.0128,-0.0107, 0.0042, 0.0097,-0.7835
17-Jan-2019 10:33:21.007,-0.0094,-0.0059,-0.9861,-0.0124, 0.0034, 0.0161,-0.0116,-0.0138,-0.0118, 0.0042, 0.0097,-0.7835
17-Jan-2019 10:33:21.047,-0.0072,-0.0046,-0.9858,-0.0126, 0.0063, 0.0156,-0.0105,-0.0160,-0.0118, 0.0041, 0.0097,-0.7835
17-Jan-2019 10:33:21.086,-0.0107,-0.0046,-0.9866,-0.0116, 0.0040, 0.0131,-0.0105,-0.0149,-0.0118, 0.0041, 0.0097,-0.7835
17-Jan-2019 10:33:21.127,-0.0087,-0.0066,-0.9850,-0.0132, 0.0049, 0.0147,-0.0094,-0.0117,-0.0118, 0.0041, 0.0097,-0.7835
17-Jan-2019 10:33:21.166,-0.0091,-0.0050,-0.9845,-0.0133, 0.0055, 0.0135,-0.0116,-0.0138,-0.0107, 0.0041, 0.0097,-0.7835
17-Jan-2019 10:33:21.205,-0.0070,-0.0054,-0.9862,-0.0123, 0.0048, 0.0164,-0.0115,-0.0149,-0.0139, 0.0041, 0.0097,-0.7835
17-Jan-2019 10:33:21.245,-0.0110,-0.0033,-0.9850,-0.0137, 0.0046, 0.0131,-0.0084,-0.0128,-0.0118, 0.0042, 0.0097,-0.7835
17-Jan-2019 10:33:21.285,-0.0075,-0.0053,-0.9863,-0.0129, 0.0038, 0.0152,-0.0105,-0.0149,-0.0118, 0.0042, 0.0097,-0.7835
17-Jan-2019 10:33:21.325,-0.0121,-0.0052,-0.9857,-0.0127, 0.0055, 0.0135,-0.0094,-0.0128,-0.0107, 0.0041, 0.0097,-0.7835
17-Jan-2019 10:33:21.364,-0.0091,-0.0063,-0.9854,-0.0129, 0.0041, 0.0142,-0.0105,-0.0117,-0.0118, 0.0041, 0.0097,-0.7834
17-Jan-2019 10:33:21.404,-0.0109,-0.0053,-0.9862,-0.0143, 0.0059, 0.0128,-0.0116,-0.0138,-0.0118, 0.0041, 0.0097,-0.7835
